"Gene ID","Description","Log2 FC MF/PF","-Log10(P-Value)","significance","Log2 FC PF/MF","Ratio H/L normalized Significance B","FC MF/PF","Significant","Annotation","Coordinates"
"Tb927.8.1210","hypothetical protein, conserved",0.9367731,0.728333941969872,"Not Significant",-0.9367731,0.186924427,1.91424183014833,NA,"InterPro:IPR009054 :Eukaryotic DNA topoisomerases I, dispensable insert;Superfamily:SSF46596;;query 429-496;description=DNA topoisomerases I, dispensable insert, eukaryotic-type","385805:387865 Reverse"
"Tb927.10.12030","hypothetical protein, conserved",0.9365246,0.728091770368631,"Not Significant",-0.9365246,0.187028689,1.91391213598869,NA,"term=annotation;db_xref=PMID:21363968;date=20110218;qualifier=added_controlled_curation;qualifier=added_comment;curatorName=FLK","2923512:2924264 Forward"
"Tb927.4.4080","C-5 sterol desaturase, putative",0.9342072,0.707987312527698,"Not Significant",-0.9342072,0.19589019,1.91084028812388,NA,"PANTHER:PTHR11863;;query 94-239;description=null","1083687:1084427 Reverse"
"Tb927.10.420","hypothetical protein, conserved",0.9324163,0.706553408044418,"Not Significant",-0.9324163,0.196538027,1.90846972427325,NA,"iprscan;InterPro:IPR019782 :WD40 repeat 2;Prosite:PS50082;;score=8.503;query 328-353;description=WD40 repeat 2","110936:113665 Forward"
"Tb927.2.100","retrotransposon hot spot protein 1 (RHS1), putative",0.9309304,0.734487578341122,"Not Significant",-0.9309304,0.18429452,1.90650511274809,NA,"RHS1: pers. comm. Frederic Bringaud, CNRS/BordeauxII University. Belongs to the RHS family. (PMID:12455980)","1683:4172 Reverse;>Tb927.2.1344 | retrotransposon hot spot protein (RHS, pseudogene), putative | InterPro:IPR006518 :Trypanosome RHS;Pfam:PF07999;;query 1-71;description=Trypanosome RHS | 248938:249150 Forward"
"Tb927.3.800","hypothetical protein, conserved",0.9285393,1.01670808144782,"Not Significant",-0.9285393,0.096225886,1.90334791831716,NA,"InterPro:IPR008217 :Protein of unknown function DUF125, transmembrane;Pfam:PF01988;;query 53-270;description=Protein of unknown function DUF125, transmembrane","190449:191294 Reverse"
"Tb927.8.4620","small GTP-binding protein Rab7, putative",0.9280726,0.705124140798458,"Not Significant",-0.9280726,0.197185901,1.90273230047268,NA,"100% similar to: GB:CAA68210.1: rab7 {Trypanosoma brucei}(PMID:9099693) Localizes adjacent and posterior to kinetoplast.","1364585:1365244 Reverse"
"Tb927.3.3510","hypothetical protein, conserved",0.9277158,0.819955618633045,"Not Significant",-0.9277158,0.151371593,1.90226178458258,NA,"tmhmm;;query 1-491;| 989200:990675 Forward",NA
"Tb927.10.12870","hypothetical protein, conserved",0.9275237,0.819752140789186,"Not Significant",-0.9275237,0.151442531,1.90200850849113,NA,"term=annotation;date=20110228;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","3126455:3129718 Reverse"
"Tb927.1.3300","myotubularin, putative",0.9257413,1.01285377437631,"Not Significant",-0.9257413,0.097083679,1.8996600935239,NA,"InterPro:IPR017455 :Zinc finger, FYVE-related;Prosite:PS50178;;query 814-868;description=Zinc finger, FYVE-related","717984:720602 Forward"
"Tb927.8.2310","(H)-ATPase G subunit, putative",0.9255767,0.835264497123253,"Not Significant",-0.9255767,0.146128694,1.89944336981873,NA,"PANTHER:PTHR12713:SF1;;query 1-107;description=null","699549:699878 Forward"
"Tb927.6.3280","cyclosome subunit 1, putative",0.9233589,0.699321077853709,"Not Significant",-0.9233589,0.19983839,1.89652567126055,NA,"InterPro:IPR002015 :Proteasome/cyclosome, regulatory subunit;Pfam:PF01851;;query 1258-1294;description=Proteasome/cyclosome, regulatory subunit","966763:972276 Forward"
"Tb927.4.3800","hypothetical protein, conserved",0.9222921,0.699957907126295,"Not Significant",-0.9222921,0.199545571,1.8951238048362,NA,"term=annotation;date=20110221;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","993461:994429 Reverse"
"Tb927.4.3580","hypothetical protein, conserved",0.9212262,0.813092331962912,"Not Significant",-0.9212262,0.153782766,1.89372415600422,NA,"InterPro:IPR015419 :Transcription factor Pcc1;Pfam:PF09341;;query 17-96;description=Transcription factor Pcc1","915966:916277 Reverse;>Tb927.4.3600 | hypothetical protein, conserved | InterPro:IPR015419 :Transcription factor Pcc1;Pfam:PF09341;;query 17-96;description=Transcription factor Pcc1 | 918023:918334 Reverse"
"Tb927.9.1700","hypothetical protein, conserved",0.921035,0.886332462142713,"Not Significant",-0.921035,0.129917465,1.89347319786253,NA,"InterPro:IPR008974 :TRAF-like;Superfamily:SSF49599;;query 15-147;description=TRAF-like","388870:390675 Reverse"
"Tb927.7.4700","hypothetical protein, conserved",0.9173247,0.723010304399737,"Not Significant",-0.9173247,0.189229872,1.88860985023838,NA,"InterPro:IPR011046 :WD40 repeat-like;Superfamily:SSF50978;;query 19-697;description=WD40 repeat-like","1250046:1252142 Reverse"
"Tb927.4.1610","hypothetical protein, conserved",0.9163713,0.999996421428213,"Not Significant",-0.9163713,0.100000824,1.88736218129178,NA,"term=annotation;date=20110228;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","412095:413174 Reverse"
"Tb927.7.3630","TPR-repeat-containing chaperone protein DNAJ, putative",0.9158813,0.721797365220318,"Not Significant",-0.9158813,0.18975911,1.88672126244988,NA,"InterPro:IPR001623 :Heat shock protein DnaJ, N-terminal;Pfam:PF00226;;query 417-486;description=Heat shock protein DnaJ, N-terminal","944569:946155 Reverse"
"Tb927.10.5310","protein kinase, putative",0.9139772,0.996723487456421,"Not Significant",-0.9139772,0.100757298,1.88423276961991,NA,"iprscan;InterPro:IPR001245 :Tyrosine protein kinase;SMART:SM00219;;score=1.0E-14;query 8-259;description=Tyrosine protein kinase","1326114:1328303 Forward"
"Tb927.8.680","KREPA5",0.9135424,0.692169455278617,"Not Significant",-0.9135424,0.203156417,1.88366498436918,NA,"mitochondrial localisation predicted by MitoCarta (PMID:20660476)","188554:189063 Reverse"
"Tb927.10.3760","vacuolar ATP synthase subunit d, putative",0.9135152,0.996092409219927,"Not Significant",-0.9135152,0.100903816,1.88362947083157,NA,"iprscan;InterPro:IPR002699 :ATPase, V1/A1 complex, subunit D;PANTHER:PTHR11671;;score=4.8E-63;query 1-261;description=ATPase, V1/A1 complex, subunit D","976942:977793 Reverse"
"Tb927.9.9780","peptidyl-prolyl cis-trans isomerase (cyclophilin- 40), putative",0.9127272,0.719149941430215,"Not Significant",-0.9127272,0.190919399,1.88260091338012,NA,"Tb927.9.9780 is included in the African trypanosome cell surface phylome and is a member of Fam66 (47 members)","1555585:1556649 Reverse"
"Tb927.10.12420","predicted S. cerevisiae Got1 homologue",0.912157,0.690939726058628,"Not Significant",-0.912157,0.203732481,1.88185699529253,NA,"predicted to be involved in ER-Golgi transport","3010075:3010503 Reverse"
"Tb927.4.2860","hypothetical protein, conserved",0.9113156,0.689754473223697,"Not Significant",-0.9113156,0.204289256,1.88075978985979,NA,"Superfamily:SSF46785;;query 23-179;description=null","755227:756270 Forward"
"Tb927.9.7230","ADP-ribosylation factor-like protein, putative",0.9093363,0.800584914684381,"Not Significant",-0.9093363,0.158276007,1.87818125779385,NA,"InterPro:IPR006689 :ARF/SAR superfamily;PRINTS:PR00328;;query 19-42;description=ARF/SAR superfamily","1174742:1175323 Forward"
"Tb927.1.1080","TFIIH basal transcription factor subunit",0.9089841,0.687909056017222,"Not Significant",-0.9089841,0.205159175,1.87772280005846,NA,"term=annotation;date=20100916;qualifier=tritryp_UC:6 4890;qualifier=added_GO:0003700;qualifier=added_GO:0005634;qualifier=added_gene_name:TSP1;qualifier=added_product;qual ifier=added_PMID:19386623;curatorName=FLK","305843:307300 Forward"
"Tb11.NT.101","missing_product_qualifer",0.9082528,0.687479267644694,"Not Significant",-0.9082528,0.205362306,1.8767712263215,NA,"not essential in procyclics, FMS-4","2302573:2303394 Could not determine strand"
"Tb927.11.8380","NADPH--cytochrome p450 reductase, putative",0.9082257,0.700743060430764,"Not Significant",-0.9082257,0.199185142,1.87673597284027,NA,"InterPro:IPR001433 :Oxidoreductase FAD/NAD(P)-binding;Pfam:PF00175;;query 486-598;description=Oxidoreductase FAD/NAD(P)-binding","2348833:2350740 Could not determine strand"
"Tb927.2.240","retrotransposon hot spot protein 5 (RHS5), putative",0.907089,0.714428073741046,"Not Significant",-0.907089,0.193006496,1.87525787419003,NA,"RHS5: pers. comm. Frederic Bringaud, CNRS/BordeauxII University. Belongs to the RHS family. (PMID:12455980)","25548:27572 Reverse"
"Tb927.10.1050","serine carboxypeptidase III precursor, putative",0.9063858,0.698980774972726,"Not Significant",-0.9063858,0.19999504,1.8743440566642,NA,"iprscan;InterPro:IPR001563 :Peptidase S10, serine carboxypeptidase;Pfam:PF00450;;score=1.7E-126;query 46-462;description=Peptidase S10, serine carboxypeptidase","282866:284266 Reverse"
"Tb927.10.12360","hypothetical protein, conserved",0.9060343,0.814900104413436,"Not Significant",-0.9060343,0.153143968,1.87388744479236,NA,"term=annotation;date=20110223;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","2998832:2999344 Reverse"
"Tb927.10.4860","hypothetical protein, conserved",0.9049804,0.684745043892673,"Not Significant",-0.9049804,0.206659301,1.87251905524263,NA,"term=annotation;date=20110228;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","1213720:1214898 Reverse"
"Tb927.7.3350","palmitoyl acyltransferase 11, putative",0.9044942,0.684361248496383,"Not Significant",-0.9044942,0.206842011,1.87188810736604,NA,"Tb927.7.3350 is included in the African trypanosome cell surface phylome and is a member of Fam76 (36 members)","875281:876354 Reverse"
"Tb927.10.1170","intraflagellar transport protein IFT172, putative",0.9039001,0.711763488126616,"Not Significant",-0.9039001,0.194194315,1.87111742489598,NA,"iprscan;InterPro:IPR019782 :WD40 repeat 2;Prosite:PS50082;;score=8.871;query 151-186;description=WD40 repeat 2","312228:317471 Reverse"
"Tb927.3.5100","TFIIH basal transcription factor subunit",0.8978122,0.788545223373558,"Not Significant",-0.8978122,0.162725186,1.86323829942793,NA,"orthologue of human TFIIH subunit XPB;tritryp_UC:64880","1430609:1433425 Forward"
"Tb927.2.370","retrotransposon hot spot protein 1 (RHS1), putative",0.8970866,0.973775030536343,"Not Significant",-0.8970866,0.106224567,1.86230142382719,NA,"RHS1: pers. comm. Frederic Bringaud, CNRS/BordeauxII University. Belongs to the RHS family. (PMID:12455980)","55836:58340 Reverse"
"Tb927.10.14990","intraflagellar transport protein IFT80/CHE2, putative",0.8949925,0.688110823273873,"Not Significant",-0.8949925,0.205063883,1.85960021787634,NA,"iprscan;InterPro:IPR019782 :WD40 repeat 2;Prosite:PS50082;;score=12.38;query 107-139;description=WD40 repeat 2","3663015:3665363 Forward"
"Tb927.3.1110","flagellar transport protein, putative",0.8914286,0.684725859724621,"Not Significant",-0.8914286,0.20666843,1.85501210336003,NA,"PANTHER:PTHR21547;;query 1-308;description=null","270798:272231 Forward"
"Tb927.2.2460","ubiquitin-conjugating enzyme e2, putative",0.890947,0.965495096273895,"Not Significant",-0.890947,0.108269194,1.85439296715496,NA,"PANTHER:PTHR11621:SF32;;query 5-193;description=null","486394:486990 Reverse"
"Tb927.11.3690","hypothetical protein, conserved",0.889904,0.672887185134024,"Not Significant",-0.889904,0.212379608,1.85305281359814,NA,"PANTHER:PTHR10992:SF17;;query 8-371;description=null","1085306:1086433 Could not determine strand"
"Tb927.7.4770","cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative",0.8893695,0.699676691871864,"Not Significant",-0.8893695,0.199674823,1.85236640846906,NA,"Tb927.7.4770 is included in the African trypanosome cell surface phylome and is a member of Fam66 (47 members)","1264536:1265057 Reverse"
"Tb927.2.1170","retrotransposon hot spot protein 5 (RHS5), putative",0.88758,0.698194430624853,"Not Significant",-0.88758,0.200357484,1.85007018187883,NA,"RHS5: pers. comm. Frederic Bringaud, CNRS/BordeauxII University. Belongs to the RHS family. (PMID:12455980)","205540:207567 Reverse"
"Tb927.8.7610","amino acid transporter 1, putative",0.886993,0.697708458371856,"Not Significant",-0.886993,0.200581808,1.84931758326075,NA,"Tb927.8.7610 is included in the African trypanosome cell surface phylome and is a member of Fam54 (74 members)","2196885:2198288 Forward;>Tb927.8.7640 | amino acid transporter 1, putative | Tb927.8.7640 is included in the African trypanosome cell surface phylome and is a member of Fam54 (74 members) | 2204830:2206233 Forward;>Tb927.8.7620 | amino acid transporter 1, putative | Tb927.8.7620 is included in the African trypanosome cell surface phylome and is a member of Fam54 (74 members) | 2199380:2200783 Forward;>Tb927.8.7630 | amino acid transporter 1, putative | Tb927.8.7630 is included in the African trypanosome cell surface phylome and is a member of Fam54 (74 members) | 2202105:2203508 Forward"
"Tb927.5.3280","hypothetical protein, conserved",0.8859795,0.734800300325234,"Not Significant",-0.8859795,0.184161863,1.84801888525094,NA,"term=annotation;db_xref=PMID:21363968;date=20110218;qualifier=added_controlled_curation;qualifier=added_comment;curatorName=FLK","1083945:1087511 Reverse"
"Tb927.10.13860","GPI-anchor transamidase subunit 8 (GPI8)",0.8814808,0.842164071268193,"Not Significant",-0.8814808,0.143825512,1.84226525494831,NA,"curated by J. Mottram","3382594:3383553 Reverse"
"Tb927.6.1580","polynucleotide kinase 3'-phosphatase, putative",0.8808962,0.729831336757298,"Not Significant",-0.8808962,0.186281044,1.84151889479477,NA,"InterPro:IPR006549 :HAD-superfamily hydrolase, subfamily IIIA;TIGR_TIGRFAMS:TIGR01662;;query 52-207;description=HAD-superfamily hydrolase, subfamily IIIA","544746:546176 Reverse"
"Tb927.6.3100","hypothetical protein, conserved",0.8801259,0.674038100568355,"Not Significant",-0.8801259,0.21181753,1.84053591271247,NA,"PANTHER:PTHR13376;;query 218-432;description=null","918201:919508 Forward"
"Tb927.11.5710","chaperone protein DNAj, putative",0.8797276,0.84023012817006,"Not Significant",-0.8797276,0.144467405,1.84002784673368,NA,"InterPro:IPR001623 :Heat shock protein DnaJ, N-terminal;SMART:SM00271;;query 358-412;description=Heat shock protein DnaJ, N-terminal","1614594:1615865 Could not determine strand"
"Tb927.6.1570","2-hydroxy-3-oxopropionate reductase, putative",0.8795419,0.673487781672864,"Not Significant",-0.8795419,0.212086106,1.83979101831779,NA,"InterPro:IPR006115 :6-phosphogluconate dehydrogenase, NAD-binding;Pfam:PF03446;;query 2-165;description=6-phosphogluconate dehydrogenase, NAD-binding","543497:544399 Reverse"
"Tb927.10.3670","hypothetical protein, conserved",0.8777646,0.726777620634391,"Not Significant",-0.8777646,0.187595484,1.83752591918692,NA,"term=annotation;date=20110221;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","954962:956428 Reverse"
"Tb927.6.4170","hypothetical protein, conserved",0.8766516,0.72569370052974,"Not Significant",-0.8766516,0.188064273,1.83610886457883,NA,"tmhmm;;query 1-433;| 1199360:1200661 Reverse",NA
"Tb927.10.5140","protein kinase, putative",0.8761484,0.670294208237464,"Not Significant",-0.8761484,0.213651424,1.8354685567912,NA,"iprscan;InterPro:IPR001245 :Tyrosine protein kinase;SMART:SM00219;;score=3.9E-13;query 13-305;description=Tyrosine protein kinase","1261399:1262727 Forward"
"Tb927.1.190","retrotransposon hot spot protein (RHS, pseudogene), putative",0.8759366,0.688583123279157,"Not Significant",-0.8759366,0.204840995,1.83519911405062,NA,"InterPro:IPR006518 :Trypanosome RHS;Pfam:PF07999;;query 1-764;description=Trypanosome RHS","75424:77915 Reverse;>Tb927.2.1160 | retrotransposon hot spot protein (RHS, pseudogene), putative | N-terminal domain of an RHS2, interrupted by a RIME: pers. comm. Frederic Bringaud, CNRS/BordeauxII University. Belongs to the RHS family. (PMID:12455980) | 203618:204608 Reverse;>Tb927.2.220 | retrotransposon hot spot protein (RHS, pseudogene), putative | N-terminal domain of an RHS2, interrupted by an ingi retrotransposon. The C-terminal domain was probably lost: pers. comm. Frederic Bringaud, CNRS/BordeauxII University. Belongs to the RHS family. (PMID:12455980) | 23835:24616 Reverse;>Tb927.2.1060 | retrotransposon hot spot protein (RHS, pseudogene), putative | N-terminal domain of an RHS1, interrupted by a RIME. Chimeric pseudogene between RHS2 (N-terminal domain) and RHS1 (C-terminal domain): pers. comm. Frederic Bringaud, CNRS/BordeauxII University. Belongs to the RHS family. (PMID:12455980) | 177859:178311 Reverse"
"Tb927.9.9750","membrane- trafficking protein, putative",0.8734764,0.833350621323229,"Not Significant",-0.8734764,0.146774084,1.83207225127958,NA,"some similarity to secretory carrier membrane protein 4","1553756:1554439 Reverse"
"Tb927.1.1840","hypothetical protein, conserved",0.8728685,0.659595768709565,"Not Significant",-0.8728685,0.218979889,1.83130044429142,NA,"term=annotation;db_xref=PMID:21363968;date=20110218;qualifier=added_controlled_curation;qualifier=added_comment;curatorName=FLK","474175:475821 Forward"
"Tb927.11.7120","hypothetical protein, conserved",0.8722874,0.762168167356451,"Not Significant",-0.8722874,0.172914667,1.83056296729892,NA,"InterPro:IPR007225 :Exocyst complex subunit Sec15-like;PANTHER:PTHR12702;;query 197-675;description=Exocyst complex subunit Sec15-like","1994427:1997438 Reverse"
"Tb927.10.14040","vacuolar ATP synthase subunit c, putative",0.8698862,0.66441804120397,"Not Significant",-0.8698862,0.216561853,1.8275187398224,NA,"iprscan;InterPro:IPR004907 :ATPase, V1 complex, subunit C;PANTHER:PTHR10137;;score=7.0E-34;query 191-378;description=ATPase, V1 complex, subunit C","3419254:3420396 Reverse"
"Tb927.10.2660","hypothetical protein, conserved",0.8684631,0.656177068347974,"Not Significant",-0.8684631,0.220710468,1.82571693170799,NA,"term=annotation;date=20110221;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","689133:689699 Forward"
"Tb927.11.5750","hypothetical protein, conserved",0.8675679,0.775475628549937,"Not Significant",-0.8675679,0.167696644,1.82458441597563,NA,"term=annotation;date=20110223;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","1628599:1631355 Could not determine strand"
"Tb927.5.4350","NUDIX hydrolase, putative",0.8670942,0.756850337085487,"Not Significant",-0.8670942,0.175044981,1.82398542330277,NA,"InterPro:IPR015797 :NUDIX;Superfamily:SSF55811;;query 2-152;description=NUDIX","1354450:1354962 Reverse"
"Tb927.11.1500","hypothetical protein",0.8660682,0.654321803411281,"Not Significant",-0.8660682,0.221655339,1.82268872254138,NA,"InterPro:IPR001611 :Leucine-rich repeat;Pfam:PF00560;;query 324-345;description=Leucine-rich repeat","453791:458779 Could not determine strand"
"Tb927.10.9700","predicted C2 domain protein",0.8646228,0.772493122183082,"Not Significant",-0.8646228,0.16885226,1.82086353085593,NA,"iprscan;InterPro:IPR000008 :C2 calcium-dependent membrane targeting;Pfam:PF00168;;score=7.7E-12;query 116-198;description=C2 calcium-dependent membrane targeting","2398220:2401765 Forward"
"Tb927.4.2740","hypothetical protein, conserved",0.8646228,0.679299114613535,"Not Significant",-0.8646228,0.209267066,1.82086353085593,NA,"InterPro:IPR008907 :P25-alpha;Pfam:PF05517;;query 1-147;description=P25-alpha","723054:723506 Forward"
"Tb927.3.3300","hypothetical protein, conserved",0.8642024,0.678955242896814,"Not Significant",-0.8642024,0.209432828,1.82033301020823,NA,"term=annotation;date=20110223;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","848039:850483 Reverse"
"Tb927.9.12870","hypothetical protein, conserved",0.858698,0.748287522760564,"Not Significant",-0.858698,0.178530523,1.81340101808411,NA,"InterPro:IPR007233 :Sybindin-like protein;Pfam:PF04099;;query 3-137;description=Sybindin-like protein","2033145:2033567 Forward"
"Tb927.10.8770","disgorgin, putative",0.8573382,0.643038458649928,"Not Significant",-0.8573382,0.227489597,1.81169261754862,NA,"similarity to putative plant adhesion molecules","2163164:2164420 Forward"
"Tb927.4.110","retrotransposon hot spot protein (RHS, pseudogene), putative",0.8552749,0.918034953516108,"Not Significant",-0.8552749,0.120771663,1.80910343999536,NA,"N-terminal domain of an RHS1, interrupted by a RIME: pers. comm. Frederic Bringaud, CNRS/BordeauxII University.","3639:4715 Reverse"
"Tb927.1.240","retrotransposon hot spot protein (RHS, pseudogene), putative",0.8541008,0.812189780217597,"Not Significant",-0.8541008,0.15410269,1.80763174693887,NA,"InterPro:IPR005135 :Endonuclease/exonuclease/phosphatase;Pfam:PF03372;;query 433-645;description=Endonuclease/exonuclease/phosphatase","91365:99081 Reverse"
"Tb927.6.1530","hypothetical protein, conserved",0.8539704,0.812048179555965,"Not Significant",-0.8539704,0.154152943,1.80746836901026,NA,"InterPro:IPR017926 :Glutamine amidotransferase type 1;Prosite:PS51273;;query 88-255;description=Glutamine amidotransferase type 1","534862:535806 Reverse"
"Tb927.6.160","retrotransposon hot spot protein 1 (RHS1), putative",0.8535533,0.811595360687648,"Not Significant",-0.8535533,0.154313755,1.80694588430912,NA,"RHS1. Chimeric gene between RHS5 (N-terminal domain) and RHS1 (C-terminal domain): pers. comm. Frederic Bringaud, CNRS/BordeauxII University.","20561:22579 Forward"
"Tb927.3.4670","cdc2-related kinase, putative",0.8520421,0.643500958471452,"Not Significant",-0.8520421,0.227247462,1.80505412833668,NA,"InterPro:IPR001245 :Tyrosine protein kinase;SMART:SM00219;;query 22-399;description=Tyrosine protein kinase","1321695:1322981 Reverse"
"Tb927.9.15070","hypothetical protein, conserved",0.8476997,0.908098572622811,"Not Significant",-0.8476997,0.123566694,1.79962922399861,NA,"Superfamily:SSF102405;;query 547-707;description=null","2352212:2354425 Forward"
"Tb927.11.3580","hypothetical protein, conserved",0.8473882,0.755142100028417,"Not Significant",-0.8473882,0.175734852,1.79924069837653,NA,"InterPro:IPR007373 :Thiamin pyrophosphokinase, vitamin B1-binding region;Superfamily:SSF63862;;query 309-390;description=Thiamin pyrophosphokinase, vitamin B1-binding region","1060586:1061893 Could not determine strand"
"Tb927.4.2230","dolichyl-P-Man:GDP-Man1GlcNAc2-PP-dolichyl alpha-1,3-mannosyltransferase, putative",0.8472584,0.697323014172468,"Not Significant",-0.8472584,0.200759907,1.79907882706594,NA,"PANTHER:PTHR12526:SF22;;query 61-487;description=null","579354:580883 Forward"
"Tb927.11.1740","intraflagellar transport protein IFT88",0.8437068,0.662278931077286,"Not Significant",-0.8437068,0.217631156,1.79465533511418,NA,"99.5% identical to GB:AAP80732.1: putative intraflagellar transport protein IFT88 {Trypanosoma brucei;} (PMID:14532107)","526696:529098 Reverse"
"Tb927.5.3390","ADG1, pseudogene",0.8406808,0.898936095691742,"Not Significant",-0.8406808,0.126201322,1.79089505619213,NA,"tmhmm;;query 1-118;| 1129185:1129541 Reverse",NA
"Tb927.8.2670","hypothetical protein, conserved",0.8390282,0.689467478581907,"Not Significant",-0.8390282,0.204424301,1.78884476932585,NA,"mitochondrial localisation predicted by MitoCarta (PMID:20660476)","794590:795876 Forward"
"Tb927.6.5050","V-type ATPase, C subunit, putative",0.8378931,0.895308920613749,"Not Significant",-0.8378931,0.127259754,1.78743787524727,NA,"InterPro:IPR000245 :ATPase, V0 complex, proteolipid subunit C,;PRINTS:PR00122;;query 83-107;description=ATPase, V0 complex, proteolipid subunit C,","1381837:1382511 Forward"
"Tb927.9.6470","hypothetical protein, conserved",0.8377126,0.632525432136785,"Not Significant",-0.8377126,0.233063663,1.7872142574033,NA,"term=annotation;date=20110228;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","1066294:1066998 Forward"
"Tb927.9.9550","hypothetical protein, conserved",0.8373001,0.65710261649564,"Not Significant",-0.8373001,0.220240601,1.78670332440961,NA,"term=annotation;date=20110222;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","1522102:1522740 Reverse"
"Tb927.7.5150","hypothetical protein, conserved",0.8372229,0.625830952889137,"Not Significant",-0.8372229,0.23668408,1.7866077187533,NA,"tmhmm;;query 1-1454;| 1356180:1360544 Forward",NA
"Tb927.8.3590","hypothetical protein, conserved",0.8369651,0.726322972889912,"Not Significant",-0.8369651,0.187791974,1.78628849236981,NA,"term=annotation;db_xref=PMID:21363968;date=20110218;qualifier=added_controlled_curation;qualifier=added_comment;curatorName=FLK","1078979:1080937 Reverse"
"Tb927.6.4220","mitogen-activated protein kinase 5",0.8363982,0.625129749796386,"Not Significant",-0.8363982,0.237066534,1.78558671688272,NA,"InterPro:IPR001245 :Tyrosine protein kinase;SMART:SM00219;;query 38-335;description=Tyrosine protein kinase","1209784:1210923 Reverse"
"Tb927.10.16100","FK506-binding protein (FKBP)-type peptidyl-prolyl isomerase, putative",0.832822,0.65349485938216,"Not Significant",-0.832822,0.222077797,1.78116602703841,NA,"Tb927.10.16100 is included in the African trypanosome cell surface phylome and is a member of Fam69 (15 members)","3959421:3960698 Forward"
"Tb927.9.8000","ubiquitin-conjugating enzyme e2, putative",0.8324108,0.629715929272181,"Not Significant",-0.8324108,0.234576267,1.78065842766213,NA,"PANTHER:PTHR11621:SF30;;query 6-146;description=null","1324225:1324677 Reverse"
"Tb927.1.420","retrotransposon hot spot protein 5 (RHS5), putative",0.8317945,0.739593337267425,"Not Significant",-0.8317945,0.182140558,1.77989791668113,NA,"InterPro:IPR006518 :Trypanosome RHS;TIGR_TIGRFAMS:TIGR01631;;query 51-658;description=Trypanosome RHS","156384:158411 Forward;>Tb927.4.190 | retrotransposon hot spot protein (RHS, pseudogene), putative | InterPro:IPR006518 :Trypanosome RHS;Pfam:PF07999;;query 5-149;description=Trypanosome RHS | 27790:28422 Forward"
"Tb927.7.510","hypothetical protein, conserved",0.8286906,0.736515442592834,"Not Significant",-0.8286906,0.183435994,1.77607265476284,NA,"term=other;date=20110221;qualifier=added_controlled_ curation;qualifier=added_comment;curatorName=FLK","99076:100146 Reverse"
"Tb927.9.13510","Poly(A)-specific ribonuclease PARN-3",0.8263608,0.624187899170773,"Not Significant",-0.8263608,0.237581216,1.77320679980326,NA,"InterPro:IPR006941 :Ribonuclease CAF1;Pfam:PF04857;;query 2-489;description=Ribonuclease CAF1","2142149:2144020 Reverse"
"Tb927.5.900","oligosaccharyl transferase subunit, putative",0.8237284,0.621788998551766,"Not Significant",-0.8237284,0.238897168,1.76997428460271,NA,"InterPro:IPR003674 :Oligosaccharyl transferase, STT3 subunit;Pfam:PF02516;;query 45-751;description=Oligosaccharyl transferase, STT3 subunit","357479:359944 Forward;>Tb927.5.910 | oligosaccharyl transferase subunit, putative | InterPro:IPR003674 :Oligosaccharyl transferase, STT3 subunit;Pfam:PF02516;;query 45-751;description=Oligosaccharyl transferase, STT3 subunit | 360779:363244 Forward;>Tb927.5.880 | hypothetical protein, conserved | InterPro:IPR003674 :Oligosaccharyl transferase, STT3 subunit;Pfam:PF02516;;query 20-81;description=Oligosaccharyl transferase, STT3 subunit | 353502:353771 Forward"
"Tb927.4.3770","protein kinase, putative",0.821687,0.612676161177177,"Not Significant",-0.821687,0.243962929,1.767471558616,NA,"pers. comm. M. Parsons, P. Ward, J. Mottram","986612:988069 Reverse"
"Tb927.6.730","hypothetical protein, conserved",0.8199795,0.611237539666652,"Not Significant",-0.8199795,0.244772408,1.76538090719272,NA,"term=annotation;date=20110228;qualifier=added_contro lled_curation;qualifier=added_comment;curatorName=FLK","299469:301253 Reverse"
"Tb927.2.1800","DNA polymerase delta catalytic subunit, putative",0.8190628,0.708445630422175,"Not Significant",-0.8190628,0.195683573,1.76425952631012,NA,"InterPro:IPR006134 :DNA polymerase, B region;Pfam:PF00136;;query 473-931;description=DNA-directed DNA polymerase, family B, conserved region","331701:334781 Forward"
"Tb927.10.450","hypothetical protein, conserved",0.8189356,0.617431391620815,"Not Significant",-0.8189356,0.241306271,1.7641039813664,NA,"iprscan;InterPro:IPR018799 :Microtubule/TRAF3 and DISC1 binding protein;Pfam:PF10243;;score=3.3E-107;query 2-577;description=Microtubule/TRAF3 and DISC1 binding protein","116855:118612 Forward"
